ID	DOCULECT	SUBGROUP	CONCEPT	VALUE	IPA	TOKENS	COGIDS	MORPHEMES	STRUCTURE	NOTE	CHARACTERS	CHARACTER_IS
1	Beijing	Mandarin	vomit	tʰu⁵¹	tʰu⁵¹	tʰ u ⁵¹	1	spit/吐	i n t		吐	
2	Ha_erbin	Mandarin	vomit	tʰu⁵³	tʰu⁵³	tʰ u ⁵³	1	spit/吐	i n t		吐	
3	Jinan	Mandarin	vomit	tʰu³¹	tʰu³¹	tʰ u ³¹	1	spit/吐	i n t		吐	
4	Rongcheng	Mandarin	vomit	ou²¹³⁻³⁵ tʰu²¹⁴	ou²¹³+tʰu²¹⁴	ou ²¹³ + tʰ u ²¹⁴	2 1	nausea/嘔 spit/吐	n t + i n t		嘔 吐	
5	Taiyuan	Jin	vomit	tʰu⁵³ lə⁰	tʰu⁵³+lə⁰	tʰ u ⁵³ + l ə ⁰	2 5	nausea/嘔 _:PERFECTIVE/了	i n t + i n t		嘔 嘞	
6	Xi_an	Mandarin	vomit	ŋou²¹ tʰu⁵³	ŋou²¹+tʰu⁵³	ŋ ou ²¹ + tʰ u ⁵³	2 1	nausea/嘔 spit/吐	i n t + i n t		嘔 吐	
7	Chengdu	Mandarin	vomit	fa²¹⁻⁵⁵ tʰu⁵³ lo²¹	fa²¹+tʰu⁵³+lo²¹	f a ²¹ + tʰ u ⁵³ + l o ²¹	4 1 5	_send.out/發 spit/吐 _:PERFECTIVE/了	i n t + i n t + i n t		發 吐 了	
8	Chengdu	Mandarin	vomit	tʰu⁵³⁻⁵⁵ lo²¹	tʰu⁵³+lo²¹	tʰ u ⁵³ + l o ²¹	1 5	spit/吐 _:PERFECTIVE/了	i n t + i n t		吐 了	
9	Chengdu	Mandarin	vomit	ŋəu⁵³⁻⁴⁵ lo²¹	ŋəu⁵³+lo²¹	ŋ əu ⁵³ + l o ²¹	2 5	nausea/嘔 _:PERFECTIVE/了	i n t + i n t		嘔 了	
10	Nanjing	Mandarin	vomit	tʰu⁴⁴	tʰu⁴⁴	tʰ u ⁴⁴	1	spit/吐	i n t		吐	
11	Nanjing	Mandarin	vomit	əɯ¹¹⁻²² tʰu⁴⁴⁻²²	əɯ¹¹+tʰu⁴⁴	əɯ ¹¹ + tʰ u ⁴⁴	2 1	nausea/嘔 spit/吐	n t + i n t		嘔 吐	
12	Jixi	Hui	vomit	fɔ⁵⁵⁻⁴⁵ ŋoʔ³²*	fɔ⁵⁵+ŋoʔ³²	f ɔ ⁵⁵ + ŋ o ʔ ³²	6 7	faint/㽹 nausea/惡	i n t + i n c t		㽹 惡	
13	Suzhou	Wu	vomit	ʏ⁵²	ʏ⁵²	ʏ ⁵²	2	nausea/嘔	n t		嘔	
14	Wenzhou	Wu	vomit	tʰøy⁵¹	tʰøy⁵¹	tʰ øy ⁵¹	1	spit/吐	i n t		吐	
15	Changsha	Xiang	vomit	tʰu⁵⁵	tʰu⁵⁵	tʰ u ⁵⁵	1	spit/吐	i n t		吐	
16	Loudi	Xiang	vomit	xue⁴²	xwe⁴²	x w e ⁴²	768	vomit/?	i m n t		囗	
17	Loudi	Xiang	vomit	ta³⁵⁻⁵ xue⁴²	ta³⁵+xwe⁴²	t a ³⁵ + x w e ⁴²	9 768	_bear.carry/帶 vomit/?	i n t + i m n t		帶 囗	
18	Nanchang	Gan	vomit	ŋiɛu²¹³	ŋjɛu²¹³	ŋ j ɛu ²¹³	2	nausea/嘔	i m n t		嘔	
19	Nanchang	Gan	vomit	tʰu²¹³	tʰu²¹³	tʰ u ²¹³	1	spit/吐	i n t		吐	
20	Meixian	Hakka	vomit	pʰon³³	pʰon³³	pʰ o n ³³	10	turn/翻	i n c t		翻	
21	Guilin	Pinghua	vomit	tʰu²⁵	tʰu²⁵	tʰ u ²⁵	1	spit/吐	i n t		吐	
22	Guangzhou	Yue	vomit	ŋɐu³⁵ tʰou³³	ŋɐu³⁵+tʰou³³	ŋ ɐu ³⁵ + tʰ ou ³³	2 1	nausea/嘔 spit/吐	i n t + i n t		嘔 吐	
23	Fuzhou	Min	vomit	tʰou²¹²	tʰou²¹²	tʰ ou ²¹²	1	spit/吐	i n t		吐	
24	Xiamen	Min	vomit	tʰo²¹	tʰo²¹	tʰ o ²¹	1	spit/吐	i n t		吐	
25	Beijing		fear	pʰᴀ⁵¹	pʰa̠⁵¹	pʰ a̠ ⁵¹	11	fear/怕	i n t		怕	
26	Ha_erbin		fear	pʰa⁵³	pʰa⁵³	pʰ a ⁵³	11	fear/怕	i n t		怕	
27	Jinan		fear	pʰa³¹	pʰa³¹	pʰ a ³¹	11	fear/怕	i n t		怕	
